experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes
EXP-E0-QWEN,existing_evidence,C4,Local Qwen3-VL Video-MME clips,BCCB R2; matrix error; A@V error,Grid BCCB; flat BCM; fixed-permutation BCM,diagnostic only,Pure BCCB remains a weak universal replacement,verified,Source E:/Codex_work/ssh_experiment/video_circulant_analysis_20260701/ANALYSIS_REPORT.md
EXP-E0-WAN,existing_evidence,C4,Local Wan2.2 small-grid probes,3D cyclic R2; coordinate perturbation drop,True coordinates; random coordinates,diagnostic only,Geometry-dependent cyclic signal is conditional by head layer and timestep,verified,Source E:/Codex_work/ssh_experiment/video_circulant_analysis_20260701/ANALYSIS_REPORT.md
EXP-E0-TRANSFER,existing_evidence,C4,Saved representative ViT and Qwen maps,oracle error; transfer error; route Jaccard,Target oracle; source support; source template,diagnostic only,Static non-local support fails to transfer,verified,Source E:/Codex_work/ssh_experiment/video_circulant_analysis_20260701/remote_logs/hybrid_transfer_probe_20260708.json
EXP-E0-SCTM,existing_evidence,C2,CIFAR-10 ViT-SCTM checkpoint,loss delta; accuracy delta; prediction flips,Drop strongest; weakest; random; all routes,diagnostic only,Ranked sparse routes are task-functional in this model,verified,Source E:/Codex_work/ssh_experiment/video_circulant_analysis_20260701/remote_logs/vit_sctm_route_causal_20260708.json
EXP-B0-RECENT,foundational_baseline,C1,Every selected online dataset,task quality by current delayed and event slices; state bytes; latency,Recent window; instant cache; uniform reservoir,fixed-budget recent evidence,A recent cache may outperform indiscriminate historical memory,verified,On 200 MVBench CLIP examples recent-window capacity 16 is best at 0.515 and exceeds the full 32-frame reference at 0.480; it remains mandatory on future tasks
EXP-P0-SYNTH,controlled_probe,C2,Synthetic translation plus rare-event suite,state error; event recall; support precision,Identity; exact shift; convolution; oracle event mask,full probe stack,Recover known transport and event support before real-video use,verified,Controlled transport state event and scene-cut suite passes implementation gates; artifacts are under paper/results/probe_mvp
EXP-P1-RANK,diagnostic,C2,Local Video-MME clips plus StreamingBench subset,effective rank; stable rank; energy at r; online prediction error; logit error,Unaligned; identity aligned; low-cost motion aligned; region or object pooled; online PCA; OLSTEC,rank probe r=8;16;32;64,Small aligned state should preserve a useful persistent component,negative_task_transfer,Formal 30-segment CLIP probe has mean rank-32 token-normalized energy 0.766 with 19 of 25 category-layer cells above 0.70; however the unsupervised subspace does not preserve MVBench decisions better than exact recent evidence
EXP-P1-MEMORY,main_comparison,C1,MVBench five-task deterministic subset,language-conditioned accuracy; retention versus delay; state bytes; paired confidence interval,Recent window; uniform reservoir; adaptive slots; Oja; full sequence,instant plus Oja at capacities 4;8;16,Fixed state should improve delayed retention without diluting current perception at matched bytes,negative,The representation gain does not transfer: instant plus Oja gains versus recent are +0.005 0.000 and -0.040 on 200 CLIP-proxy examples and the preregistered promotion gate fails
EXP-P1-LLAVA,task_anchor,C1,MVBench five-task deterministic subset,accuracy; parsing; policy sensitivity; visual-token bytes; inference latency,Uniform frames; recent frames; fixed hybrid frames,pooled multi-frame LLaVA at 128 and 512 visual tokens,A fixed history plus recent policy should improve a real VLM at a matched visual-token budget,negative,Hybrid scores 0.46 versus 0.45 uniform at 128 tokens and 0.52 versus 0.53 uniform at 512 tokens; neither run passes the gate
EXP-P1-FIDELITY,diagnostic,C1,MVBench five-task deterministic subset,paired accuracy by pooling grid; visual-token bytes,4x4 spatial pooling; 8x8 spatial pooling,pooled multi-frame LLaVA,More spatial detail should recover evidence lost before temporal selection,preliminary,Grid8 yields +0.06 to +0.08 paired accuracy point gains across policies while increasing the visual-token payload from 1 MiB to 4 MiB; all 95 percent intervals include zero at n=100
EXP-P1-LEARNED,main_comparison,C1,StreamingBench OVBench or MVBench delayed and rare-event slices,task accuracy; current-scene accuracy; rare-event recall; state bytes; read-write latency,Recent window; reservoir; adaptive slots; query-free slots; CausalMem; FOLIO; SelectStream,exact recent plus query-conditioned semantic and episodic memory,A learned bounded memory should beat recent-only at matched bytes without sacrificing current evidence,planned,Use a native video VLM or trained memory readout; stop if gain is below 0.03 or only appears under lower spatial fidelity
EXP-P2-SPARSE,diagnostic,C2,StreamingBench events plus Ego4D or OVOBench-Realtime,residual top-k energy; block Gini; event recall,Random top-k; motion top-k; uncertainty top-k,oracle residual support,Residual energy and rare evidence should concentrate in a small block set,preliminary,Formal 30-segment proxy result passes the top-10 percent energy gate in only 4 of 25 cells and the joint energy-plus-change-recall gate in 0 of 25; remove sparse-event language pending semantic labels
EXP-P2-ROUTER,causal_probe,C2,Same as EXP-P2-SPARSE,event recall; task loss; router latency,Random router; motion router; oracle router,causal low-dimensional block router,Predicted support should retain most oracle benefit at lower cost than dense mixing,planned,Count feature extraction and synchronization
EXP-P3-TRANSPORT,diagnostic,C2,Synthetic suite plus stable real-video segments,activation error; spectral error; downstream logit error,Identity; flow warp; depthwise convolution; BTTB; global BCCB; local BCCB,mixture-of-local-structured-bases,Local structured transport should have a measurable stable-content regime,preliminary,Formal 30-segment result finds BTTB gains on high-change and object-motion slices but only 0.037 percent mean BCCB increment over BTTB; optical flow passes 0 of 20 eligible cells and downstream task effects remain pending
EXP-P3-TEMPDELTA,diagnostic,C2,Continuous stable and scene-cut clips,kernel delta entropy; update frequency; quantization MSE,Full kernel refresh; fixed kernel,temporal differential kernel update,Kernel deltas should be small only during stable periods,planned,Do not infer from static DRE-BCM generator deltas
EXP-P4-JOINT,main_comparison,C1,StreamingBench and OVBench,accuracy by current delayed and event slices; rare-event recall; state bytes; active tokens; retrieval cost,Full history; recent window; instant cache; reservoir; StateKV; CausalMem; SelectStream; FOLIO; Tensor Memory; event-only; transport-only,full three-path model,Full model should improve the matched quality-memory-compute Pareto frontier without current-scene dilution,cancelled,BCCB event residual and query-free Oja mechanisms all fail their gates; do not build the joint model before a learned memory path independently succeeds
EXP-A1-PATHS,ablation,C2,Primary online benchmark,task quality by stable delayed and event slices,All one-path and two-path combinations,full model and path deletions,Each path should have a mechanism-specific failure slice,planned,Primary complementarity evidence
EXP-A2-GATE,ablation,C1,Primary online benchmark,quality; gate allocation; cost variance,Equal fusion; static routing; unconstrained routing,budgeted dynamic gate,Dynamic budgeted routing should outperform static allocation at matched mean cost,planned,Report path overlap and collapse
EXP-A3-ARCHIVE,ablation,C2,Rare-event and delayed-query subsets,rare-event recall; archive bytes; eviction loss,No archive; FIFO; reservoir,event-priority sparse archive,Archive should protect rare details discarded by low-dimensional memory,planned,Memory budget includes archive metadata
EXP-A4-ALIGN,robustness,C2,Camera motion and object motion subsets,rank; transport error; task quality,No alignment; flow; learned low-cost alignment,full model,Conclusions should survive alignment controls,planned,Guards against token-correspondence artifacts
EXP-P5-CROSS,cross_model,C1,Second public encoder on two datasets,all probe and task metrics,Qwen-based model; second encoder,matched full model,Core mechanism should not depend on one visual tower,planned,Choose model after local asset audit
EXP-S1-MEMORY,efficiency,C3,Streams from 1 minute to 2 hours,GPU bytes; CPU bytes; archive bytes; slope versus duration,Full history; fixed window; StreamingTOM; StateKV; CausalMem,full bounded system,Total retained state should remain bounded by configured budgets,planned,Count every cache and serialized record
EXP-S2-LATENCY,efficiency,C3,Primary deployment GPU,P50; P95; P99; FPS; energy proxy; encoder ms; prefill ms; router ms; retrieval ms; archive ms; kernel ms,Dense attention; fixed window; STC; StreamingTOM; selected official baselines,optimized full system,Measured tail latency should improve at comparable quality,planned,Batch one warmup synchronized timing profiler trace and host or disk accounting
EXP-S3-ROUTER,efficiency,C3,Primary deployment GPU,router ms; avoided ms; hit rate; oracle gap,No router; heuristic router; oracle router,causal low-dimensional router,Router should provide positive net latency savings,planned,Failure pivots to static stage policy
EXP-G1-WAN,transfer,C4,Wan real denoising latents,denoising loss; VBench; latency,VMonarch; MonarchRT; RoPeSLR,head-timestep gated structured path,Understanding-side lessons may transfer to selected generation heads,planned,Deferred and excluded from first-paper completion
