answer_index,answer_logprob,answer_logprob_delta,beneficial_flip,candidate_correct,candidate_kl,candidate_prediction,candidate_top1_match,dense_native_feature_bytes,feature_relative_l2,harmful_flip,inference_seconds,injection_max_abs,native_feature_state_bytes,prediction_match,reference_candidate_correct,reference_candidate_prediction,sample_id,state_compression_ratio,task,vision_seconds,vocabulary_kl
1,-1.506540298461914,0.4076213836669922,0,0,0.01766350120306015,0,1,22478848,0.16333241760730743,0,0.02107804687693715,0.0,2860032,1,0,0,action_antonym_0003,7.859649122807017,action_antonym,0.010864017996937037,0.017660802230238914
2,-0.26166632771492004,0.0,0,1,0.0,2,1,22478848,0.17937910556793213,0,0.020422110334038734,0.0,2860032,1,1,2,action_antonym_0004,7.859649122807017,action_antonym,0.01565105188637972,1.6012601236070623e-06
2,-0.5875394344329834,-0.0536196231842041,0,1,0.0019074027659371495,2,1,22478848,0.16197125613689423,0,0.02031906507909298,0.0,2860032,1,1,2,action_antonym_0006,7.859649122807017,action_antonym,0.00942791998386383,0.001906486228108406
0,-0.21570360660552979,-0.05435079336166382,0,1,0.007204392924904823,0,1,22478848,0.16065867245197296,0,0.023319398052990437,0.0,2860032,1,1,0,action_antonym_0008,7.859649122807017,action_antonym,0.009608305059373379,0.007219996768981218
1,-0.20207099616527557,-0.041241973638534546,0,1,0.00417696125805378,1,1,22478848,0.17414037883281708,0,0.020444532856345177,0.0,2860032,1,1,1,action_antonym_0011,7.859649122807017,action_antonym,0.009302109014242887,0.004177107475697994
0,-0.050086840987205505,-0.0014078766107559204,0,1,8.523162250639871e-05,0,1,22478848,0.16143284738063812,0,0.02036093221977353,0.0,2860032,1,1,0,action_antonym_0012,7.859649122807017,action_antonym,0.009805092122405767,8.574697858421132e-05
2,-0.04918411374092102,-7.00242817401886e-05,0,1,4.205637651466532e-06,2,1,22478848,0.16631442308425903,0,0.021487581077963114,0.0,2860032,1,1,2,action_antonym_0014,7.859649122807017,action_antonym,0.012638198211789131,4.274887487554224e-06
2,-1.3195667266845703,0.38889503479003906,0,0,0.020532801747322083,1,1,22478848,0.16967172920703888,0,0.020399195607751608,0.0,2860032,1,0,1,action_antonym_0015,7.859649122807017,action_antonym,0.009740037843585014,0.020529527217149734
1,-0.3612886667251587,0.0016977488994598389,0,1,0.00010681734420359135,1,1,22478848,0.18405647575855255,0,0.020218422170728445,0.0,2860032,1,1,1,action_antonym_0017,7.859649122807017,action_antonym,0.013145749922841787,0.00014042355178389698
0,-0.0912046730518341,-0.027424223721027374,0,1,0.004479739814996719,0,1,22478848,0.16650763154029846,0,0.0219883369281888,0.0,2860032,1,1,0,action_antonym_0020,7.859649122807017,action_antonym,0.009888244792819023,0.004490668885409832
1,-0.20280510187149048,0.02414722740650177,0,1,0.0012329146265983582,1,1,22478848,0.17087270319461823,0,0.02041753800585866,0.0,2860032,1,1,1,action_antonym_0021,7.859649122807017,action_antonym,0.010357045102864504,0.001242877566255629
1,-0.3236357271671295,-0.0012134015560150146,0,1,7.356266723945737e-05,1,1,22478848,0.17278796434402466,0,0.0200554970651865,0.0,2860032,1,1,1,action_antonym_0025,7.859649122807017,action_antonym,0.008965372573584318,7.355631532846019e-05
2,-0.7600559592247009,0.21626347303390503,0,0,0.0169159397482872,0,1,22478848,0.1632615625858307,0,0.02151103178039193,0.0,2860032,1,0,0,action_antonym_0026,7.859649122807017,action_antonym,0.009739529807120562,0.016899658367037773
0,-0.028359249234199524,0.0024415384978055954,0,1,0.00022725190501660109,0,1,22478848,0.17012865841388702,0,0.020288763102144003,0.0,2860032,1,1,0,action_antonym_0027,7.859649122807017,action_antonym,0.00949756195768714,0.00022716548119205981
0,-0.2130078226327896,-0.02141609787940979,0,1,0.0010937303304672241,0,1,22478848,0.16105572879314423,0,0.020265893079340458,0.0,2860032,1,1,0,action_antonym_0028,7.859649122807017,action_antonym,0.009063353296369314,0.0010980452643707395
