sample_id,role,method,teacher_index,answer_index,approximate_index,compressed_top1_margin,candidate_kl,prediction_match,baseline_correct,approximate_correct,fallback,delivered_prediction_match,delivered_correct,delivered_candidate_kl
vsi_question_5012,prospective,tiny_controller,1,1,1,0.125,0.006195295602083206,1,1,1,1,1,1,0.0
vsi_question_1036,prospective,tiny_controller,1,1,1,0.0,0.00859859585762024,1,1,1,1,1,1,0.0
vsi_question_1007,prospective,tiny_controller,1,2,1,1.75,0.0011940021067857742,1,0,0,0,1,0,0.0011940021067857742
vsi_question_3636,prospective,tiny_controller,2,1,2,0.625,0.021449841558933258,1,0,0,1,1,0,0.0
vsi_question_1031,prospective,tiny_controller,2,3,2,0.125,0.0061498680151999,1,0,0,1,1,0,0.0
vsi_question_2976,prospective,tiny_controller,2,2,2,0.125,0.4186141788959503,1,1,1,1,1,1,0.0
vsi_question_1837,prospective,tiny_controller,3,0,3,0.25,0.0017477013170719147,1,0,0,1,1,0,0.0
vsi_question_5100,prospective,tiny_controller,0,3,0,0.125,0.001687491312623024,1,0,0,1,1,0,0.0
vsi_question_3138,prospective,tiny_controller,1,1,3,0.375,0.0809277594089508,0,1,0,1,1,1,0.0
vsi_question_5045,prospective,tiny_controller,0,3,0,0.625,0.0014870688319206238,1,0,0,1,1,0,0.0
vsi_question_2167,prospective,tiny_controller,0,1,0,0.75,0.002822662703692913,1,0,0,0,1,0,0.002822662703692913
vsi_question_4961,prospective,tiny_controller,2,0,2,0.375,0.001719912514090538,1,0,0,1,1,0,0.0
vsi_question_1062,prospective,tiny_controller,2,3,2,0.125,0.007708504796028137,1,0,0,1,1,0,0.0
vsi_question_2066,prospective,tiny_controller,3,2,2,0.125,0.0731479749083519,0,0,1,1,1,0,0.0
vsi_question_3061,prospective,tiny_controller,0,2,3,0.75,0.04859946668148041,0,0,0,0,0,0,0.04859946668148041
vsi_question_3607,prospective,tiny_controller,1,2,0,0.375,0.022365830838680267,0,0,0,1,1,0,0.0
vsi_question_5027,prospective,tiny_controller,0,1,0,0.25,0.0037437397986650467,1,0,0,1,1,0,0.0
vsi_question_1326,prospective,tiny_controller,1,0,1,0.875,0.045312583446502686,1,0,0,0,1,0,0.045312583446502686
vsi_question_5026,prospective,tiny_controller,2,3,2,0.5,0.0018576309084892273,1,0,0,1,1,0,0.0
vsi_question_969,prospective,tiny_controller,1,0,1,1.25,0.007950559258460999,1,0,0,0,1,0,0.007950559258460999
vsi_question_1967,prospective,tiny_controller,3,1,3,0.625,0.015363860875368118,1,0,0,1,1,0,0.0
vsi_question_3021,prospective,tiny_controller,2,2,2,0.625,0.12489606440067291,1,1,1,1,1,1,0.0
vsi_question_1420,prospective,tiny_controller,0,0,0,2.25,0.09630618989467621,1,1,1,0,1,1,0.09630618989467621
vsi_question_5031,prospective,tiny_controller,1,3,1,0.5,0.0019512157887220383,1,0,0,1,1,0,0.0
