sample_id,method,teacher_index,answer_index,minimum_margin,feature_relative_l2,maximum_exact_adverse_shift,maximum_linear_adverse_shift,prediction_match
vsi_question_1320,source_pca_r456,1,0,1.5,0.16773287951946259,0.0,0.02051069587469101,1
vsi_question_1320,vsi_pca_r456,1,0,1.5,0.14063899219036102,0.0,0.0,1
vsi_question_3068,source_pca_r456,1,1,2.875,0.16976721584796906,0.125,0.22985459864139557,1
vsi_question_3068,vsi_pca_r456,1,1,2.875,0.13614521920681,0.125,0.0998411476612091,1
vsi_question_1585,source_pca_r456,2,0,0.125,0.16555486619472504,0.0,0.0,1
vsi_question_1585,vsi_pca_r456,2,0,0.125,0.133295476436615,0.0,0.0,1
vsi_question_3110,source_pca_r456,3,3,2.125,0.17045679688453674,0.25,0.20635414123535156,1
vsi_question_3110,vsi_pca_r456,3,3,2.125,0.13129621744155884,0.125,0.10107837617397308,1
vsi_question_1360,source_pca_r456,1,1,1.0,0.17434360086917877,0.375,0.26930972933769226,1
vsi_question_1360,vsi_pca_r456,1,1,1.0,0.1398385763168335,0.125,0.18433527648448944,1
vsi_question_1529,source_pca_r456,0,0,2.0,0.1682521104812622,0.125,0.06102018803358078,1
vsi_question_1529,vsi_pca_r456,0,0,2.0,0.13616348803043365,0.0,0.02297268435359001,1
vsi_question_1128,source_pca_r456,0,0,0.875,0.16923435032367706,0.125,0.13191403448581696,1
vsi_question_1128,vsi_pca_r456,0,0,0.875,0.13436654210090637,0.25,0.10498029738664627,1
vsi_question_5059,source_pca_r456,3,0,0.125,0.16764479875564575,0.0,0.02839476428925991,1
vsi_question_5059,vsi_pca_r456,3,0,0.125,0.12915997207164764,0.0,0.010906114242970943,1
vsi_question_1344,source_pca_r456,1,1,0.625,0.17065025866031647,0.0,0.0,1
vsi_question_1344,vsi_pca_r456,1,1,0.625,0.13767431676387787,0.0,0.0,1
vsi_question_3758,source_pca_r456,1,1,0.75,0.1666773408651352,0.0,0.0,1
vsi_question_3758,vsi_pca_r456,1,1,0.75,0.1343378871679306,0.0,0.0,1
vsi_question_5018,source_pca_r456,1,1,0.875,0.1660226583480835,0.0,0.01851402036845684,1
vsi_question_5018,vsi_pca_r456,1,1,0.875,0.13916032016277313,0.125,0.013518845662474632,1
vsi_question_2109,source_pca_r456,1,3,0.625,0.16997729241847992,0.0,0.04625021666288376,1
vsi_question_2109,vsi_pca_r456,1,3,0.625,0.14012061059474945,0.0,0.060060080140829086,1
vsi_question_5079,source_pca_r456,0,0,0.375,0.17575864493846893,0.0,0.0,1
vsi_question_5079,vsi_pca_r456,0,0,0.375,0.13277022540569305,0.125,0.0,1
vsi_question_2988,source_pca_r456,0,0,0.75,0.17485211789608002,0.0,0.0,1
vsi_question_2988,vsi_pca_r456,0,0,0.75,0.14159348607063293,0.125,0.0,1
vsi_question_966,source_pca_r456,2,1,0.25,0.16788634657859802,0.25,0.4470820724964142,0
vsi_question_966,vsi_pca_r456,2,1,0.25,0.1308678388595581,0.125,0.3178507089614868,1
vsi_question_3032,source_pca_r456,3,0,0.25,0.17077787220478058,0.125,0.11600065231323242,1
vsi_question_3032,vsi_pca_r456,3,0,0.25,0.13999156653881073,0.0,0.10654788464307785,1
vsi_question_1490,source_pca_r456,2,3,0.125,0.17346064746379852,0.0,0.0,1
vsi_question_1490,vsi_pca_r456,2,3,0.125,0.14564159512519836,0.0,0.036441609263420105,1
vsi_question_2459,source_pca_r456,0,0,0.125,0.17290717363357544,0.0,0.0,1
vsi_question_2459,vsi_pca_r456,0,0,0.125,0.13968543708324432,0.0,0.0,1
vsi_question_5148,source_pca_r456,1,0,0.0,0.16593782603740692,0.0,0.03924382105469704,0
vsi_question_5148,vsi_pca_r456,1,0,0.0,0.12772886455059052,0.0,0.02184421382844448,0
vsi_question_3007,source_pca_r456,0,2,1.875,0.1672729253768921,0.0,0.04301026463508606,1
vsi_question_3007,vsi_pca_r456,0,2,1.875,0.13528694212436676,0.0,0.014916193671524525,1
vsi_question_5092,source_pca_r456,0,2,0.125,0.16939495503902435,0.0,0.019315529614686966,1
vsi_question_5092,vsi_pca_r456,0,2,0.125,0.1371011883020401,0.0,0.019457435235381126,1
vsi_question_5006,source_pca_r456,2,0,0.25,0.18441835045814514,0.125,0.024447187781333923,1
vsi_question_5006,vsi_pca_r456,2,0,0.25,0.13646867871284485,0.0,0.013640537858009338,1
vsi_question_2008,source_pca_r456,0,1,0.5,0.16636595129966736,0.375,0.42134910821914673,1
vsi_question_2008,vsi_pca_r456,0,1,0.5,0.12599283456802368,0.25,0.22769208252429962,1
vsi_question_3182,source_pca_r456,0,0,0.625,0.17120495438575745,0.0,0.0,1
vsi_question_3182,vsi_pca_r456,0,0,0.625,0.1389491856098175,0.0,0.03563292697072029,1
