sample_id,task,selector,reference_variant,candidate_variant,transition,prediction_changed,reference_correct,candidate_correct,reference_prediction,candidate_prediction,answer,question,frame_indices,pool_reconstruction_error,selected_reconstruction_error
action_sequence_0000,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Put down the cup/glass/bottle.,Put down the cup/glass/bottle.,Ate the medicine.,What happened after the person took the food?,"[297, 309, 322, 334, 346, 358, 370, 382]",0.072868712246418,0.07314245402812958
action_sequence_0010,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Put down the laptop.,Put down the laptop.,Put down the laptop.,What happened before the person sat on the sofa/couch?,"[339, 353, 367, 381, 395, 409, 423, 437]",0.06914272904396057,0.07124365121126175
action_sequence_0016,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Tidied up the table.,Tidied up the table.,Tidied up the table.,What happened after the person took the dish?,"[104, 109, 113, 117, 122, 126, 130, 134]",0.08475814014673233,0.08719383180141449
action_sequence_0021,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Threw the clothes.,What happened before the person took the towel?,"[192, 200, 208, 216, 224, 232, 240, 248]",0.0692044124007225,0.07125444710254669
action_sequence_0023,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Tidied up the closet/cabinet.,Tidied up the closet/cabinet.,Tidied up the blanket.,What happened before the person put down the clothes?,"[344, 358, 372, 386, 400, 414, 428, 442]",0.08608534187078476,0.08620655536651611
action_sequence_0024,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Opened the book.,Opened the book.,Opened the book.,What happened after the person drank from the cup/glass/bottle?,"[231, 240, 250, 259, 268, 278, 287, 297]",0.07839446514844894,0.07913794368505478
action_sequence_0027,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Put down the dish.,Put down the dish.,Put down the dish.,What happened before the person opened the closet/cabinet?,"[344, 358, 372, 386, 400, 414, 428, 442]",0.07143797725439072,0.07127080857753754
action_sequence_0030,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Sat on the sofa/couch.,Sat on the sofa/couch.,Sat on the sofa/couch.,What happened before the person took the blanket?,"[411, 427, 444, 461, 478, 495, 511, 528]",0.07096659392118454,0.0693894475698471
action_sequence_0036,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Washed the clothes.,Washed the clothes.,Washed the clothes.,What happened after the person held the sandwich?,"[242, 252, 262, 272, 282, 292, 302, 312]",0.07559305429458618,0.07725024223327637
action_sequence_0041,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Took the paper/notebook.,Took the paper/notebook.,Took the paper/notebook.,What happened after the person opened the refrigerator?,"[452, 470, 489, 507, 526, 544, 563, 581]",0.06409599632024765,0.06511522084474564
action_sequence_0048,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Tidied up the closet/cabinet.,Tidied up the closet/cabinet.,Tidied up the blanket.,What happened after the person put down the clothes?,"[335, 349, 362, 376, 390, 403, 417, 431]",0.08374962955713272,0.08551280945539474
action_sequence_0051,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Took the book.,What happened after the person closed the door?,"[303, 315, 327, 340, 352, 365, 377, 389]",0.07672432065010071,0.07598650455474854
action_sequence_0056,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Took the paper/notebook.,Took the paper/notebook.,Took the paper/notebook.,What happened after the person opened the book?,"[42, 44, 46, 48, 49, 51, 53, 55]",0.07838334888219833,0.07860006392002106
action_sequence_0062,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Put down the box.,Put down the box.,Put down the box.,What happened after the person sat at the table?,"[241, 251, 260, 270, 280, 290, 300, 310]",0.06403633952140808,0.06605356931686401
action_sequence_0063,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Took the towel.,Took the towel.,Took the paper/notebook.,What happened after the person held the dish?,"[140, 145, 151, 157, 162, 168, 174, 180]",0.055999308824539185,0.05705884099006653
action_sequence_0067,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Sat at the table.,Sat at the table.,Sat at the table.,What happened before the person held the sandwich?,"[362, 377, 392, 407, 422, 436, 451, 466]",0.07683541625738144,0.07634195685386658
action_sequence_0068,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Threw the pillow.,What happened before the person held the phone/camera?,"[439, 457, 475, 493, 511, 529, 547, 565]",0.08518656343221664,0.08471793681383133
action_sequence_0079,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Lied on the floor.,Lied on the floor.,Lied on the floor.,What happened before the person watched at the picture?,"[183, 191, 198, 206, 213, 221, 228, 236]",0.06520269811153412,0.06458573788404465
action_sequence_0090,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Opened the closet/cabinet.,Opened the closet/cabinet.,Opened the box.,What happened after the person threw the clothes?,"[190, 198, 206, 213, 221, 229, 237, 245]",0.08146645128726959,0.08191322535276413
action_sequence_0098,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Sat on the sofa/couch.,Sat on the sofa/couch.,Put down the shoe.,What happened after the person opened the box?,"[55, 57, 59, 61, 64, 66, 68, 70]",0.06471064686775208,0.06448093801736832
action_sequence_0103,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Put down the towel.,Put down the towel.,Sat on the floor.,What happened after the person washed the clothes?,"[312, 325, 337, 350, 363, 376, 388, 401]",0.07349733263254166,0.07397328317165375
