sample_id,method,teacher_index,answer_index,approximate_index,approximate_top1_margin,minimum_margin,feature_relative_l2,candidate_kl,maximum_normalized_adverse_shift,prediction_match,harmful,beneficial
vsi_question_3132,vsi_pca_train96_r456,0,1,3,0.125,0.0,0.1489327847957611,0.004338529892265797,2.5,0,0,0
vsi_question_3132,pooled3_pca_r456,0,1,0,0.0,0.0,0.15025290846824646,0.0025066137313842773,0.1666666716337204,1,0,0
vsi_question_3132,cmrq_risk_atoms32_r456,0,1,0,0.0,0.0,0.1550873965024948,0.0010822098702192307,0.1666666716337204,1,0,0
vsi_question_3132,cmrq_mix_g32_w0p3_r456,0,1,0,0.0,0.0,0.15507999062538147,0.0025066137313842773,0.1666666716337204,1,0,0
vsi_question_3132,permuted_mix_g32_w0p3_r456,0,1,0,0.125,0.0,0.15522998571395874,0.0043385326862335205,0.1666666716337204,1,0,0
vsi_question_5084,vsi_pca_train96_r456,0,2,0,0.5,0.625,0.14026671648025513,0.0017584857996553183,0.20000000298023224,1,0,0
vsi_question_5084,pooled3_pca_r456,0,2,0,0.5,0.625,0.14453235268592834,0.0023081256076693535,0.20000000298023224,1,0,0
vsi_question_5084,cmrq_risk_atoms32_r456,0,2,0,0.5,0.625,0.14954335987567902,0.0023081256076693535,0.20000000298023224,1,0,0
vsi_question_5084,cmrq_mix_g32_w0p3_r456,0,2,0,0.625,0.625,0.1495366096496582,0.00032367417588829994,0.0,1,0,0
vsi_question_5084,permuted_mix_g32_w0p3_r456,0,2,0,0.625,0.625,0.14968819916248322,0.00032367417588829994,0.0,1,0,0
vsi_question_1569,vsi_pca_train96_r456,0,1,0,1.625,1.625,0.13567639887332916,0.0006017887499183416,0.0555555559694767,1,0,0
vsi_question_1569,pooled3_pca_r456,0,1,0,1.5,1.625,0.1428774893283844,0.0014234529808163643,0.07692307978868484,1,0,0
vsi_question_1569,cmrq_risk_atoms32_r456,0,1,0,1.625,1.625,0.14766277372837067,0.0,0.0,1,0,0
vsi_question_1569,cmrq_mix_g32_w0p3_r456,0,1,0,1.625,1.625,0.14765441417694092,0.0,0.0,1,0,0
vsi_question_1569,permuted_mix_g32_w0p3_r456,0,1,0,1.5,1.625,0.14777931571006775,0.0014234529808163643,0.07692307978868484,1,0,0
vsi_question_3722,vsi_pca_train96_r456,1,0,1,0.375,0.375,0.1379694938659668,0.0,0.0,1,0,0
vsi_question_3722,pooled3_pca_r456,1,0,1,0.375,0.375,0.14661335945129395,0.0,0.0,1,0,0
vsi_question_3722,cmrq_risk_atoms32_r456,1,0,1,0.375,0.375,0.1516992151737213,0.0,0.0,1,0,0
vsi_question_3722,cmrq_mix_g32_w0p3_r456,1,0,1,0.375,0.375,0.15169286727905273,0.0,0.0,1,0,0
vsi_question_3722,permuted_mix_g32_w0p3_r456,1,0,1,0.375,0.375,0.15183435380458832,0.0,0.0,1,0,0
vsi_question_5105,vsi_pca_train96_r456,0,2,0,0.375,0.375,0.1376979947090149,0.0,0.0,1,0,0
vsi_question_5105,pooled3_pca_r456,0,2,0,0.5,0.375,0.14406166970729828,0.0016237106174230576,0.0,1,0,0
vsi_question_5105,cmrq_risk_atoms32_r456,0,2,0,0.5,0.375,0.14892634749412537,0.0016237106174230576,0.0,1,0,0
vsi_question_5105,cmrq_mix_g32_w0p3_r456,0,2,0,0.5,0.375,0.14891844987869263,0.0029654372483491898,0.09090909361839294,1,0,0
vsi_question_5105,permuted_mix_g32_w0p3_r456,0,2,0,0.375,0.375,0.14903903007507324,0.001514027826488018,0.1111111119389534,1,0,0
vsi_question_2957,vsi_pca_train96_r456,0,3,0,0.375,0.375,0.1453545093536377,0.0,0.0,1,0,0
vsi_question_2957,pooled3_pca_r456,0,3,0,0.375,0.375,0.14873281121253967,0.001366814598441124,0.20000000298023224,1,0,0
vsi_question_2957,cmrq_risk_atoms32_r456,0,3,0,0.5,0.375,0.1538204848766327,0.00180513272061944,0.0,1,0,0
vsi_question_2957,cmrq_mix_g32_w0p3_r456,0,3,0,0.375,0.375,0.15381252765655518,0.001366814598441124,0.20000000298023224,1,0,0
vsi_question_2957,permuted_mix_g32_w0p3_r456,0,3,0,0.5,0.375,0.15392272174358368,0.0015492867678403854,0.0,1,0,0
vsi_question_1880,vsi_pca_train96_r456,1,2,1,0.25,0.25,0.13795270025730133,0.0009327903389930725,0.1111111119389534,1,0,0
vsi_question_1880,pooled3_pca_r456,1,2,1,0.25,0.25,0.1439281851053238,0.001559739001095295,0.1111111119389534,1,0,0
vsi_question_1880,cmrq_risk_atoms32_r456,1,2,1,0.25,0.25,0.1488264501094818,0.001559739001095295,0.1111111119389534,1,0,0
vsi_question_1880,cmrq_mix_g32_w0p3_r456,1,2,1,0.25,0.25,0.14881916344165802,0.001559739001095295,0.1111111119389534,1,0,0
vsi_question_1880,permuted_mix_g32_w0p3_r456,1,2,1,0.375,0.25,0.1489630937576294,0.0016758963465690613,0.0,1,0,0
vsi_question_1053,vsi_pca_train96_r456,1,1,1,0.75,0.875,0.14098325371742249,0.001829255372285843,0.1428571492433548,1,0,0
vsi_question_1053,pooled3_pca_r456,1,1,1,0.875,0.875,0.14582794904708862,0.0,0.0,1,0,0
vsi_question_1053,cmrq_risk_atoms32_r456,1,1,1,0.875,0.875,0.15068882703781128,0.0,0.0,1,0,0
vsi_question_1053,cmrq_mix_g32_w0p3_r456,1,1,1,1.0,0.875,0.1506822109222412,0.0019476450979709625,0.0,1,0,0
vsi_question_1053,permuted_mix_g32_w0p3_r456,1,1,1,1.0,0.875,0.15080665051937103,0.001788415014743805,0.0,1,0,0
vsi_question_1039,vsi_pca_train96_r456,2,1,2,0.125,0.125,0.14421819150447845,0.0012430725619196892,0.0,1,0,0
vsi_question_1039,pooled3_pca_r456,2,1,2,0.25,0.125,0.14736130833625793,0.0016631055623292923,0.0,1,0,0
vsi_question_1039,cmrq_risk_atoms32_r456,2,1,2,0.125,0.125,0.15233588218688965,0.0013631051406264305,0.0,1,0,0
vsi_question_1039,cmrq_mix_g32_w0p3_r456,2,1,2,0.125,0.125,0.15232795476913452,0.0,0.0,1,0,0
vsi_question_1039,permuted_mix_g32_w0p3_r456,2,1,2,0.125,0.125,0.15247666835784912,0.0,0.0,1,0,0
vsi_question_5150,vsi_pca_train96_r456,0,2,0,0.125,0.0,0.14721232652664185,0.0019353441894054413,0.0,1,0,0
vsi_question_5150,pooled3_pca_r456,0,2,0,0.0,0.0,0.15230350196361542,0.00305052287876606,0.5,1,0,0
vsi_question_5150,cmrq_risk_atoms32_r456,0,2,0,0.0,0.0,0.1572786569595337,0.00305052287876606,0.5,1,0,0
vsi_question_5150,cmrq_mix_g32_w0p3_r456,0,2,0,0.125,0.0,0.15727189183235168,0.0019353441894054413,0.0,1,0,0
vsi_question_5150,permuted_mix_g32_w0p3_r456,0,2,0,0.125,0.0,0.15740761160850525,0.0019353441894054413,0.0,1,0,0
vsi_question_5067,vsi_pca_train96_r456,2,2,2,0.25,0.25,0.13650403916835785,0.0012436974793672562,0.20000000298023224,1,0,0
vsi_question_5067,pooled3_pca_r456,2,2,2,0.25,0.25,0.14403556287288666,0.0012436974793672562,0.20000000298023224,1,0,0
vsi_question_5067,cmrq_risk_atoms32_r456,2,2,2,0.25,0.25,0.14851915836334229,0.00182343740016222,0.20000000298023224,1,0,0
vsi_question_5067,cmrq_mix_g32_w0p3_r456,2,2,2,0.25,0.25,0.14851149916648865,0.0012436974793672562,0.20000000298023224,1,0,0
vsi_question_5067,permuted_mix_g32_w0p3_r456,2,2,2,0.25,0.25,0.14864185452461243,0.0012436974793672562,0.20000000298023224,1,0,0
vsi_question_1976,vsi_pca_train96_r456,0,1,0,0.375,0.625,0.12912005186080933,0.00544271944090724,0.4000000059604645,1,0,0
vsi_question_1976,pooled3_pca_r456,0,1,0,0.5,0.625,0.13850796222686768,0.0018283012323081493,0.20000000298023224,1,0,0
vsi_question_1976,cmrq_risk_atoms32_r456,0,1,0,0.5,0.625,0.14321313798427582,0.0018283012323081493,0.20000000298023224,1,0,0
vsi_question_1976,cmrq_mix_g32_w0p3_r456,0,1,0,0.5,0.625,0.14320668578147888,0.0018283012323081493,0.20000000298023224,1,0,0
vsi_question_1976,permuted_mix_g32_w0p3_r456,0,1,0,0.375,0.625,0.14332127571105957,0.00544271944090724,0.4000000059604645,1,0,0
vsi_question_1077,vsi_pca_train96_r456,2,2,0,0.0,0.125,0.1454799920320511,0.0017152875661849976,1.0,0,1,0
vsi_question_1077,pooled3_pca_r456,2,2,0,0.0,0.125,0.15219154953956604,0.0017152875661849976,1.0,0,1,0
vsi_question_1077,cmrq_risk_atoms32_r456,2,2,2,0.125,0.125,0.1575174778699875,0.0014151409268379211,0.3333333432674408,1,0,0
vsi_question_1077,cmrq_mix_g32_w0p3_r456,2,2,0,0.0,0.125,0.15750926733016968,0.0017152875661849976,1.0,0,1,0
vsi_question_1077,permuted_mix_g32_w0p3_r456,2,2,0,0.0,0.125,0.15765373408794403,0.0043471939861774445,1.0,0,1,0
vsi_question_3092,vsi_pca_train96_r456,1,1,1,0.375,0.25,0.13886021077632904,0.0019343236926943064,0.0,1,0,0
vsi_question_3092,pooled3_pca_r456,1,1,1,0.25,0.25,0.146460622549057,0.00012635474558919668,0.0357142873108387,1,0,0
vsi_question_3092,cmrq_risk_atoms32_r456,1,1,1,0.375,0.25,0.15125562250614166,0.0021010935306549072,0.0357142873108387,1,0,0
vsi_question_3092,cmrq_mix_g32_w0p3_r456,1,1,1,0.375,0.25,0.1512489914894104,0.0019343236926943064,0.0,1,0,0
vsi_question_3092,permuted_mix_g32_w0p3_r456,1,1,1,0.375,0.25,0.15138600766658783,0.0019343236926943064,0.0,1,0,0
vsi_question_5025,vsi_pca_train96_r456,1,0,1,0.25,0.375,0.13887402415275574,0.0019504362717270851,0.3333333432674408,1,0,0
vsi_question_5025,pooled3_pca_r456,1,0,1,0.25,0.375,0.14375804364681244,0.0019504362717270851,0.3333333432674408,1,0,0
vsi_question_5025,cmrq_risk_atoms32_r456,1,0,1,0.25,0.375,0.14867635071277618,0.001738453283905983,0.3333333432674408,1,0,0
vsi_question_5025,cmrq_mix_g32_w0p3_r456,1,0,1,0.25,0.375,0.1486693173646927,0.0019504362717270851,0.3333333432674408,1,0,0
vsi_question_5025,permuted_mix_g32_w0p3_r456,1,0,1,0.25,0.375,0.14880020916461945,0.0019504362717270851,0.3333333432674408,1,0,0
vsi_question_5074,vsi_pca_train96_r456,2,3,2,0.125,0.25,0.14855466783046722,0.0016129519790410995,0.5,1,0,0
vsi_question_5074,pooled3_pca_r456,2,3,2,0.125,0.25,0.15307991206645966,0.0016129519790410995,0.5,1,0,0
vsi_question_5074,cmrq_risk_atoms32_r456,2,3,2,0.125,0.25,0.15822356939315796,0.0019511952996253967,0.5,1,0,0
vsi_question_5074,cmrq_mix_g32_w0p3_r456,2,3,2,0.125,0.25,0.1582159399986267,0.0019511952996253967,0.5,1,0,0
vsi_question_5074,permuted_mix_g32_w0p3_r456,2,3,2,0.125,0.25,0.1583208292722702,0.0019511952996253967,0.5,1,0,0
vsi_question_5086,vsi_pca_train96_r456,0,1,0,0.625,0.625,0.14443565905094147,0.0,0.0,1,0,0
vsi_question_5086,pooled3_pca_r456,0,1,0,0.75,0.625,0.14943265914916992,0.0016917341854423285,0.0,1,0,0
vsi_question_5086,cmrq_risk_atoms32_r456,0,1,0,0.75,0.625,0.15436719357967377,0.001841438002884388,0.0,1,0,0
vsi_question_5086,cmrq_mix_g32_w0p3_r456,0,1,0,0.75,0.625,0.1543601155281067,0.001841438002884388,0.0,1,0,0
vsi_question_5086,permuted_mix_g32_w0p3_r456,0,1,0,0.625,0.625,0.15451207756996155,0.0,0.0,1,0,0
vsi_question_1058,vsi_pca_train96_r456,2,0,2,0.875,0.75,0.13642318546772003,0.001356266438961029,0.0,1,0,0
vsi_question_1058,pooled3_pca_r456,2,0,2,0.75,0.75,0.14175978302955627,0.0,0.0,1,0,0
vsi_question_1058,cmrq_risk_atoms32_r456,2,0,2,0.75,0.75,0.14660313725471497,0.0,0.0,1,0,0
vsi_question_1058,cmrq_mix_g32_w0p3_r456,2,0,2,0.75,0.75,0.1465950757265091,0.0,0.0,1,0,0
vsi_question_1058,permuted_mix_g32_w0p3_r456,2,0,2,0.75,0.75,0.14672748744487762,0.0,0.0,1,0,0
vsi_question_994,vsi_pca_train96_r456,1,1,1,0.875,0.875,0.1352042257785797,0.0007869182154536247,0.0,1,0,0
vsi_question_994,pooled3_pca_r456,1,1,1,0.875,0.875,0.14258073270320892,0.0,0.0,1,0,0
vsi_question_994,cmrq_risk_atoms32_r456,1,1,1,0.875,0.875,0.14740435779094696,0.0,0.0,1,0,0
vsi_question_994,cmrq_mix_g32_w0p3_r456,1,1,1,0.875,0.875,0.14739647507667542,0.0,0.0,1,0,0
vsi_question_994,permuted_mix_g32_w0p3_r456,1,1,1,1.0,0.875,0.1475263088941574,0.001724103931337595,0.0,1,0,0
vsi_question_1950,vsi_pca_train96_r456,0,1,0,1.875,1.75,0.1387871503829956,0.0012827599421143532,0.0,1,0,0
vsi_question_1950,pooled3_pca_r456,0,1,0,1.875,1.75,0.14541883766651154,0.0012827599421143532,0.0,1,0,0
vsi_question_1950,cmrq_risk_atoms32_r456,0,1,0,1.75,1.75,0.15017704665660858,0.0,0.0,1,0,0
vsi_question_1950,cmrq_mix_g32_w0p3_r456,0,1,0,1.75,1.75,0.15017038583755493,0.0012207459658384323,0.0625,1,0,0
vsi_question_1950,permuted_mix_g32_w0p3_r456,0,1,0,1.875,1.75,0.1502707451581955,0.0008010054007172585,0.0,1,0,0
vsi_question_2991,vsi_pca_train96_r456,0,0,0,0.375,0.625,0.1456790715456009,0.011678764596581459,0.4000000059604645,1,0,0
vsi_question_2991,pooled3_pca_r456,0,0,0,0.375,0.625,0.14954286813735962,0.01812155172228813,0.4444444477558136,1,0,0
vsi_question_2991,cmrq_risk_atoms32_r456,0,0,0,0.5,0.625,0.1547136902809143,0.009678058326244354,0.3333333432674408,1,0,0
vsi_question_2991,cmrq_mix_g32_w0p3_r456,0,0,0,0.5,0.625,0.1547069102525711,0.009410606697201729,0.3333333432674408,1,0,0
vsi_question_2991,permuted_mix_g32_w0p3_r456,0,0,0,0.375,0.625,0.15484754741191864,0.011455640196800232,0.4000000059604645,1,0,0
vsi_question_1071,vsi_pca_train96_r456,1,0,1,1.0,1.125,0.1392313838005066,0.0019524488598108292,0.1111111119389534,1,0,0
vsi_question_1071,pooled3_pca_r456,1,0,1,0.875,1.125,0.14648647606372833,0.0078052133321762085,0.2222222238779068,1,0,0
vsi_question_1071,cmrq_risk_atoms32_r456,1,0,1,1.0,1.125,0.15156131982803345,0.0019524488598108292,0.1111111119389534,1,0,0
vsi_question_1071,cmrq_mix_g32_w0p3_r456,1,0,1,1.0,1.125,0.15155382454395294,0.0011209538206458092,0.1111111119389534,1,0,0
vsi_question_1071,permuted_mix_g32_w0p3_r456,1,0,1,0.875,1.125,0.15168774127960205,0.0044838860630989075,0.2222222238779068,1,0,0
vsi_question_1224,vsi_pca_train96_r456,2,0,2,0.875,0.875,0.14149191975593567,0.0013096933253109455,0.125,1,0,0
vsi_question_1224,pooled3_pca_r456,2,0,2,0.75,0.875,0.1480049192905426,0.0019331704825162888,0.1428571492433548,1,0,0
vsi_question_1224,cmrq_risk_atoms32_r456,2,0,2,0.75,0.875,0.1530056893825531,0.0019331704825162888,0.1428571492433548,1,0,0
vsi_question_1224,cmrq_mix_g32_w0p3_r456,2,0,2,0.75,0.875,0.152999147772789,0.0019331704825162888,0.1428571492433548,1,0,0
vsi_question_1224,permuted_mix_g32_w0p3_r456,2,0,2,0.75,0.875,0.15312936902046204,0.0019331704825162888,0.1428571492433548,1,0,0
vsi_question_5089,vsi_pca_train96_r456,0,2,0,0.0,0.0,0.1317318230867386,0.0,0.0,1,0,0
vsi_question_5089,pooled3_pca_r456,0,2,0,0.0,0.0,0.14126333594322205,0.0008833538740873337,0.10000000149011612,1,0,0
vsi_question_5089,cmrq_risk_atoms32_r456,0,2,0,0.125,0.0,0.1460440456867218,0.0019111968576908112,0.0,1,0,0
vsi_question_5089,cmrq_mix_g32_w0p3_r456,0,2,0,0.125,0.0,0.14603735506534576,0.0019111968576908112,0.0,1,0,0
vsi_question_5089,permuted_mix_g32_w0p3_r456,0,2,0,0.0,0.0,0.14615456759929657,0.0008833538740873337,0.10000000149011612,1,0,0
