ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
R1,Research,Verify closest prior work,N/A,C1,citation,N/A,verified,Verify primary sources for structured attention bounded memory event memory online decomposition generation acceleration and systems co-design,N/A,0,N/A,All selected literature rows have a primary-source URL and a stated novelty consequence,DONE,0,N/A,yes,Expanded understanding and generation frontier audits recorded through 2026-07-16
R2,Research,Audit existing local evidence,N/A,C4,mixed,N/A,verified,Trace every current numerical boundary claim to local JSON CSV or report artifacts,N/A,0,N/A,Qwen Wan transfer SCTM and DRE boundaries are mapped without expanding their scope,DONE,0,N/A,yes,Authoritative paths recorded in evidence matrix
R3,Research,Resolve dataset and asset availability,N/A,C1,n/a,N/A,n/a,Audit local and remote availability of StreamingBench OVBench VStream-QA Ego4D and a second encoder,N/A,0,N/A,Each planned dataset has a source split license local path and fallback recorded,TODO,0,R1,yes,210 models and Video-MME verified in REMOTE_ASSET_AUDIT_20260716.md; benchmark licenses and exact splits remain open
E1,Experiment,Temporal low-dimensional state probe,N/A,C2,experiment,EXP-P1-RANK,negative_task_transfer,Measure aligned temporal spectra online subspace prediction and downstream preservation,N/A,0,N/A,Results include hidden-state spectra representation retention and language-conditioned task transfer,DONE,0,R3,yes,Rank-32 energy is positive in 19 of 25 formal cells but Oja and instant-Oja do not beat exact recent on the 200-example MVBench CLIP proxy
E2,Experiment,Sparse event innovation probe,N/A,C2,experiment,EXP-P2-SPARSE,negative,Measure residual concentration and alignment with semantic events,N/A,0,N/A,Report top-k energy event recall random controls and scene-cut stratification,DONE,0,R3,yes,Formal proxy joint gate passes 0 of 25 cells; sparse-event routing is removed from the current method and semantic-label follow-up is deferred
E3,Experiment,Structured transport probe,N/A,C2,experiment,EXP-P3-TRANSPORT,negative,Fit previous-to-current hidden-state transport with structured and unstructured controls,N/A,0,N/A,Compare identity flow convolution BTTB global BCCB local BCCB and mixtures under matched parameters,DONE,0,R3,yes,Formal motion-stratified result finds a limited BTTB regime but only 0.037 percent mean BCCB increment over BTTB; BCCB is removed and BTTB remains optional
E4,Experiment,Joint three-path diagnostic,N/A,C1,experiment,EXP-P4-JOINT,negative,Test all one-path two-path and three-path combinations under matched budgets,N/A,0,N/A,Full Pareto table and mechanism-slice ablations are produced or the failed component is removed from the claim,CANCELLED,0,E1;E2;E3,yes,The event and BCCB paths failed their gates; replace the three-path model with a two-timescale memory MVP
E5,Experiment,Online two-timescale memory MVP,N/A,C1,experiment,EXP-P1-MEMORY,negative,Integrate an exact recent cache plus causal low-dimensional memory between the frozen visual encoder and task interface,N/A,0,N/A,Run the preregistered task gate before expanding to seeds and larger benchmarks,DONE,0,E1,yes,The deterministic MVP gate fails at all capacities so seed expansion is stopped; see MVBENCH_TASK_MVP_ANALYSIS.md
E6,Experiment,Cross-encoder replication,N/A,C1,experiment,EXP-P5-CROSS,planned,Repeat the selected learned-memory task experiment on a second native video encoder,N/A,0,N/A,The main mechanism conclusion is either replicated or explicitly narrowed to one encoder family,TODO,0,E8,yes,Required only after the learned memory beats recent-only once
E7,Experiment,Measured memory and tail latency,N/A,C3,experiment,EXP-S2-LATENCY,preliminary_unoptimized_native,Implement optimized kernels and measure total state and latency,N/A,0,N/A,P50 P95 P99 router cost and all GPU CPU archive bytes are reported with profiler provenance,IN_PROGRESS,0,E8,yes,Native cache accounting is complete at 8413328 bytes and query-time replay is zero; cached read mean P95 P99 are 0.083 0.090 0.093 seconds but mean write is 8.68 seconds and optimized profiling remains open
E8,Experiment,Query-conditioned learned memory MVP,N/A,C1,experiment,EXP-P1-LEARNED,positive_matched_state_native_anchor_compression_in_progress,Implement and evaluate bounded semantic or episodic write read and eviction on top of an exact recent cache,N/A,0,N/A,Beat recent-only by at least 0.03 at matched bytes without reducing current-scene or rare-event quality,IN_PROGRESS,0,E5,yes,Matched-state native anchor gives every policy 8413328 bytes and removes raw replay; frozen learned reaches 0.510 versus 0.475 exact recent with +0.035 interval [0.000 0.070] p 0.0923 and is not superior to top-k or MMR; calibration-only rank-64 feature codec plus sparse residual evaluation is running
V1,Visual,Learned bounded-memory architecture figure,Method,C1,figure,N/A,planned,Draw exact-recent query-conditioned semantic or episodic memory and optional structured controls,N/A,0,Vector diagram with dimensions budgets and causal read-write paths,Figure source and editable vector output match the method contract,TODO,0,E8,yes,Show BTTB BCCB and event routing only as optional ablations
V2,Visual,Probe and Pareto figures,Evaluation,C1,mixed,N/A,planned,Generate rank sparsity transport and quality-cost plots,N/A,0,Three-panel probe figure and quality versus bytes and P95 Pareto plots,Every plotted point is regenerated from a CSV or JSON source,TODO,0,E4;E7,yes,Negative results remain visible
W1,Writing,Draft introduction,Introduction,C1,mixed,N/A,planned,Write problem gap bounded claim and contribution list,frontier,7,Method overview figure and evidence-boundary table,Every field trend and novelty statement has a verified citation or planned qualifier,TODO,0,R1;E4,yes,Do not call the decomposition a new mathematical primitive
W2,Writing,Draft related work,Related Work,C4,citation,N/A,verified,Organize prior work by structured attention memory event systems and decomposition gaps,frontier,30,Prior-work capability table,Closest methods and theoretical antecedents are explicitly distinguished,TODO,0,R1,yes,Include FOLIO SelectStream Tensor Memory CausalMem StateKV Event-VStream V-Rex and online RPCA
W3,Writing,Draft method and probes,Method,C2,mixed,N/A,planned,Specify equations memory interfaces budgets and falsification gates,core,5,Learned bounded-memory architecture and formal probe diagrams,Every symbol interface complexity and ablation replacement is defined,TODO,0,E8;V1,yes,Document BCCB sparse-event and query-free Oja paths as failed probes rather than method components
W4,Writing,Draft evaluation and limitations,Evaluation,C3,mixed,N/A,planned,Report matched-budget quality rare events memory and tail latency,standard,4,Pareto plots latency CDF and ablation table,All factual numbers recompute from artifacts and all failed gates are disclosed,TODO,0,E7;V2,yes,Separate measured modeled and planned evidence
Q1,QA,Final evidence and claim audit,N/A,C1,mixed,N/A,n/a,Validate citations design CSVs issue status figures and manuscript claims,N/A,0,N/A,All validators pass and no planned result is written as verified,TODO,0,W1;W2;W3;W4,yes,Run independent review when a collaborator is available
