sample_id,sample_position,group_index,frame_index,base_candidate_kl,singleton_candidate_kl,singleton_kl_benefit,base_teacher_margin,singleton_teacher_margin,singleton_margin_benefit
vsi_question_3132,73,0,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,1,0,0.025021575391292572,0.02407204359769821,0.0009495317935943604,0.375,0.375,0.0
vsi_question_3132,73,2,0,0.025021575391292572,0.02407204359769821,0.0009495317935943604,0.375,0.375,0.0
vsi_question_3132,73,3,0,0.025021575391292572,0.025021575391292572,0.0,0.375,0.375,0.0
vsi_question_3132,73,4,0,0.025021575391292572,0.016331635415554047,0.008689939975738525,0.375,0.25,-0.125
vsi_question_3132,73,5,0,0.025021575391292572,0.020507201552391052,0.00451437383890152,0.375,0.25,-0.125
vsi_question_3132,73,6,0,0.025021575391292572,0.020663723349571228,0.004357852041721344,0.375,0.25,-0.125
vsi_question_3132,73,7,0,0.025021575391292572,0.008220639079809189,0.016800936311483383,0.375,0.125,-0.25
vsi_question_3132,73,8,0,0.025021575391292572,0.018501661717891693,0.006519913673400879,0.375,0.375,0.0
vsi_question_3132,73,9,0,0.025021575391292572,0.02407204359769821,0.0009495317935943604,0.375,0.375,0.0
vsi_question_3132,73,10,0,0.025021575391292572,0.025021575391292572,0.0,0.375,0.375,0.0
vsi_question_3132,73,11,0,0.025021575391292572,0.011201009154319763,0.013820566236972809,0.375,0.25,-0.125
vsi_question_3132,73,12,0,0.025021575391292572,0.020507201552391052,0.00451437383890152,0.375,0.25,-0.125
vsi_question_3132,73,13,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,14,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,15,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,16,0,0.025021575391292572,0.02407204359769821,0.0009495317935943604,0.375,0.375,0.0
vsi_question_3132,73,17,0,0.025021575391292572,0.012746680527925491,0.01227489486336708,0.375,0.125,-0.25
vsi_question_3132,73,18,0,0.025021575391292572,0.02407204359769821,0.0009495317935943604,0.375,0.375,0.0
vsi_question_3132,73,19,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,20,0,0.025021575391292572,0.03116758167743683,-0.006146006286144257,0.375,0.375,0.0
vsi_question_3132,73,21,0,0.025021575391292572,0.025021575391292572,0.0,0.375,0.375,0.0
vsi_question_3132,73,22,0,0.025021575391292572,0.014388330280780792,0.01063324511051178,0.375,0.25,-0.125
vsi_question_3132,73,23,0,0.025021575391292572,0.025021575391292572,0.0,0.375,0.375,0.0
vsi_question_3132,73,24,0,0.025021575391292572,0.030903279781341553,-0.005881704390048981,0.375,0.5,0.125
vsi_question_3132,73,25,0,0.025021575391292572,0.016331635415554047,0.008689939975738525,0.375,0.25,-0.125
vsi_question_3132,73,26,0,0.025021575391292572,0.020507201552391052,0.00451437383890152,0.375,0.25,-0.125
vsi_question_3132,73,27,0,0.025021575391292572,0.020663723349571228,0.004357852041721344,0.375,0.25,-0.125
vsi_question_3132,73,28,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,29,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,30,0,0.025021575391292572,0.025021575391292572,0.0,0.375,0.375,0.0
vsi_question_3132,73,31,0,0.025021575391292572,0.02115693688392639,0.0038646385073661804,0.375,0.125,-0.25
vsi_question_3132,73,32,0,0.025021575391292572,0.028246089816093445,-0.003224514424800873,0.375,0.375,0.0
vsi_question_3132,73,33,0,0.025021575391292572,0.020663723349571228,0.004357852041721344,0.375,0.25,-0.125
vsi_question_3132,73,34,0,0.025021575391292572,0.020663723349571228,0.004357852041721344,0.375,0.25,-0.125
vsi_question_3132,73,35,0,0.025021575391292572,0.016331635415554047,0.008689939975738525,0.375,0.25,-0.125
vsi_question_3132,73,36,0,0.025021575391292572,0.030903279781341553,-0.005881704390048981,0.375,0.5,0.125
vsi_question_3132,73,37,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,38,0,0.025021575391292572,0.016331635415554047,0.008689939975738525,0.375,0.25,-0.125
vsi_question_3132,73,39,0,0.025021575391292572,0.02407204359769821,0.0009495317935943604,0.375,0.375,0.0
vsi_question_3132,73,40,0,0.025021575391292572,0.020663723349571228,0.004357852041721344,0.375,0.25,-0.125
vsi_question_3132,73,41,0,0.025021575391292572,0.016331635415554047,0.008689939975738525,0.375,0.25,-0.125
vsi_question_3132,73,42,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,43,0,0.025021575391292572,0.019152246415615082,0.00586932897567749,0.375,0.375,0.0
vsi_question_3132,73,44,0,0.025021575391292572,0.025021575391292572,0.0,0.375,0.375,0.0
vsi_question_3132,73,45,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,46,0,0.025021575391292572,0.00946851447224617,0.015553060919046402,0.375,0.25,-0.125
vsi_question_3132,73,47,0,0.025021575391292572,0.014268055558204651,0.010753519833087921,0.375,0.25,-0.125
vsi_question_3132,73,48,0,0.025021575391292572,0.030903279781341553,-0.005881704390048981,0.375,0.5,0.125
vsi_question_3132,73,49,1,0.025021575391292572,0.037710532546043396,-0.012688957154750824,0.375,0.5,0.125
vsi_question_3132,73,50,1,0.025021575391292572,0.013932865113019943,0.011088710278272629,0.375,0.125,-0.25
vsi_question_3132,73,51,1,0.025021575391292572,0.008220639079809189,0.016800936311483383,0.375,0.125,-0.25
vsi_question_3132,73,52,1,0.025021575391292572,0.07367439568042755,-0.04865282028913498,0.375,0.75,0.375
vsi_question_3132,73,53,1,0.025021575391292572,0.020663723349571228,0.004357852041721344,0.375,0.25,-0.125
vsi_question_3132,73,54,1,0.025021575391292572,0.011370494961738586,0.013651080429553986,0.375,0.125,-0.25
vsi_question_3132,73,55,1,0.025021575391292572,0.03116758167743683,-0.006146006286144257,0.375,0.375,0.0
vsi_question_3132,73,56,1,0.025021575391292572,0.020762652158737183,0.004258923232555389,0.375,0.25,-0.125
vsi_question_3132,73,57,1,0.025021575391292572,0.020663723349571228,0.004357852041721344,0.375,0.25,-0.125
vsi_question_3132,73,58,1,0.025021575391292572,0.025021575391292572,0.0,0.375,0.375,0.0
vsi_question_3132,73,59,1,0.025021575391292572,0.03590622544288635,-0.01088465005159378,0.375,0.375,0.0
vsi_question_3132,73,60,1,0.025021575391292572,0.03664657473564148,-0.011624999344348907,0.375,0.5,0.125
vsi_question_3132,73,61,1,0.025021575391292572,0.02407204359769821,0.0009495317935943604,0.375,0.375,0.0
vsi_question_3132,73,62,1,0.025021575391292572,0.02407204359769821,0.0009495317935943604,0.375,0.375,0.0
vsi_question_3132,73,63,1,0.025021575391292572,0.025021575391292572,0.0,0.375,0.375,0.0
vsi_question_3132,73,64,1,0.025021575391292572,0.020663723349571228,0.004357852041721344,0.375,0.25,-0.125
