prompt_index,seed_index,prompt,method,mode,cache_method,method_order_index,seed,status,seconds_including_text_and_vae,self_attention_calls,cross_attention_calls,peak_allocated_mib,video_file,video_sha256,teacache_threshold,model_forwards,computed_model_forwards,cached_model_forwards,computed_call_indices,cached_call_indices,cached_model_forward_fraction,precision_refresh_interval,precision_middle_steps,precision_boundary_steps,precision_model_forwards,precision_dense_model_forwards,precision_approximate_model_forwards,precision_approximate_fraction,hybrid_linear_count,hybrid_dense_calls,hybrid_fp8_calls,hybrid_residual_calls,static_scale_min,static_scale_max
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,dense,dense,fa3_bf16,0,20260723,ok,5.947301015985431,1200,1200,21533.244140625,p00_dense_seed20260723.mp4,05e9c5f36db0801e12f5ceae616a122ee3aa3964ab365ae740b677128d7d5742,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,0,2,40,40,0,0.0,60,2400,0,0,0.0075439452193677425,0.05654297024011612
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,dense_cache007,dense,fa3_bf16_teacache_007,1,20260723,ok,5.967983476992231,1200,1200,21579.857421875,p00_dense_cache007_seed20260723.mp4,05e9c5f36db0801e12f5ceae616a122ee3aa3964ab365ae740b677128d7d5742,0.07,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,0,2,40,40,0,0.0,60,2400,0,0,0.0075439452193677425,0.05654297024011612
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,dense_cache008,dense,fa3_bf16_teacache_008,2,20260723,ok,5.722044768976048,1140,1140,21579.857421875,p00_dense_cache008_seed20260723.mp4,28c2000662f013676e9bf89cab1d1250a2cc8384d95f7f47aaec5c7eb6a23d32,0.08,40,38,2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;26;27;28;29;30;31;32;33;34;35;36;37;38;39,24;25,0.05,0,0,2,40,40,0,0.0,60,2280,0,0,0.0075439452193677425,0.05654297024011612
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,fp8,fp8,fa3_bf16,3,20260723,ok,5.769889735005563,1200,1200,21534.244140625,p00_fp8_seed20260723.mp4,3996fae1c57cf50a83ecfa9edda38e91e4338b4d07fe8750798b1852aa2aa272,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,0,2,40,0,40,1.0,60,0,2400,0,0.0075439452193677425,0.05654297024011612
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,fp8_middle1,fp8,fa3_bf16,4,20260723,ok,6.019583510991652,1200,1200,21533.244140625,p00_fp8_middle1_seed20260723.mp4,461376b63de52b9e1702d541766d0742783e50d3df44d60ce34e701f4d428358,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,1,2,40,38,2,0.05,60,2280,120,0,0.0075439452193677425,0.05654297024011612
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,hybrid_middle1,hybrid,fa3_bf16,5,20260723,ok,6.06960605198401,1200,1200,21535.119140625,p00_hybrid_middle1_seed20260723.mp4,7c4fca1e4a37aa29662ef86ede9cf7cd547d9c4c2ee12aab6214c696f1e581bd,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,1,2,40,38,2,0.05,60,2280,120,120,0.0075439452193677425,0.05654297024011612
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,hybrid_middle1_cache007,hybrid,fa3_bf16_teacache_007,6,20260723,ok,6.1556083499745,1200,1200,21578.982421875,p00_hybrid_middle1_cache007_seed20260723.mp4,7c4fca1e4a37aa29662ef86ede9cf7cd547d9c4c2ee12aab6214c696f1e581bd,0.07,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,1,2,40,38,2,0.05,60,2280,120,120,0.0075439452193677425,0.05654297024011612
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,hybrid_middle1_cache008,hybrid,fa3_bf16_teacache_008,7,20260723,ok,5.8676291949814186,1140,1140,21578.982421875,p00_hybrid_middle1_cache008_seed20260723.mp4,ee7dcf019dbb3f4981e87adfeddecb49c41818ee3825227d392628efd91b73e2,0.08,40,38,2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;26;27;28;29;30;31;32;33;34;35;36;37;38;39,24;25,0.05,0,1,2,40,38,2,0.05,60,2160,120,120,0.0075439452193677425,0.05654297024011612
0,1,A red panda runs through a bamboo forest while the camera tracks smoothly.,dense_cache007,dense,fa3_bf16_teacache_007,0,20260724,ok,6.1664465580252,1200,1200,21578.107421875,p00_dense_cache007_seed20260724.mp4,125addab9f3354c1f91220f0dbb545888b240b9ee3d9fcb3d91ab6d053378d84,0.07,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,0,2,40,40,0,0.0,60,2400,0,0,0.0075439452193677425,0.05654297024011612
0,1,A red panda runs through a bamboo forest while the camera tracks smoothly.,dense_cache008,dense,fa3_bf16_teacache_008,1,20260724,ok,5.9051434969878756,1140,1140,21578.107421875,p00_dense_cache008_seed20260724.mp4,02efda79121a258305a19fad0ce89d835dfa31f50c27c7503859334ada46babe,0.08,40,38,2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;26;27;28;29;30;31;32;33;34;35;36;37;38;39,24;25,0.05,0,0,2,40,40,0,0.0,60,2280,0,0,0.0075439452193677425,0.05654297024011612
